Platform;Played;Name;OpenCritic;Genre;Multiplayer;Source
PS4/PS5; ;GRID Legends;76;Racing;Online;ESSENTIAL
PS4/PS5; ;Jurassic World Evolution 2;79;Simulation;Online;ESSENTIAL
PS4/PS5; ;NBA 2K23;79;Sports;Both;ESSENTIAL
PS4;X;Fallout 4;87;RPG;Online;BOUGHT/EXTRA
PS4;X;Teenage Mutant Ninja Turtles: Shredder's Revenge;87;Arcade;Both;EXTRA
PS4;X;XCOM 2;87;Strategy;Online;ESSENTIAL/EXTRA
PS4;i;13 Sentinels: Aegis Rim;86;Adventure;Online;EXTRA
PS4;X;Assassin's Creed IV Black Flag;86;Action;Online;EXTRA
PS4;X;Batman: Arkham Knight;86;Action;Online;ESSENTIAL/EXTRA
PS4/PS5; ;Meet Your Maker;37;Shooter;Online;ESSENTIAL
PS4;X;Desperados III;86;Strategy;Online;EXTRA
PS4;X;Black Desert - Traveler Edition;71;RPG;Online;ESSENTIAL
PS4; ;Dishonored 2;86;Action;Online;EXTRA
PS4;X;DOOM;86;Shooter;Online;EXTRA
PS4/PS5; ;Endling - Extinction is Forever;79;Adventure;Online;ESSENTIAL
PS4; ;Dragon Ball FighterZ;86;Fighting;Both;EXTRA
PS4/PS5;X;Inscryption;86;Strategy;Online;EXTRA
PS4/PS5;X;Marvel�s Spider-Man: Miles Morales;86;Action;Online;NL/EXTRA
PS4/PS5;X;Bramble: the Mountain King;1;Platformer;Online;BOUGHT
PS4/PS5; ;Monster Boy and the Cursed Kingdom;86;Platformer;Online;EXTRA
PS5;X;Returnal;86;Shooter;Online;EXTRA
PS4;X;Spiritfarer: Farewell Edition;86;Platfortmer;Local;EXTRA
PS4;X;The Messenger;86;Platformer;Online;EXTRA
PS4; ;Uncharted: The Lost Legacy;86;Adventure;Online;EXTRA
PS4/PS5; ;Call of Duty: Black Ops Cold War;75;Shooter;Online;ESSENTIAL
PS4; ;Wolfenstein II: The New Colossus;86;Shooter;Online;EXTRA
PS4/PS5; ;Trek to Yomi;71;Adventure;Online;ESSENTIAL
PS4; ;Yakuza 6: The Song of Life;86;Action;Online;EXTRA
PS4/PS5; ;Yakuza: Like a Dragon;86;Action;Online;ESSENTIAL/EXTRA
PS4; ;Assassin's Creed Origins;85;Adventure;Online;EXTRA
PS4/PS5;X;Control: Ultimate Edition;85;Action;Online;ESSENTIAL/EXTRA
PS4;X;Dragon Quest Builders 2;85;RPG;Online;EXTRA
PS4;X;Enter The Gungeon;85;Action;Local;ESSENTIAL/EXTRA
PS4; ;Final Fantasy XII The Zodiac Age;85;RPG;Online;EXTRA
PS4; ;Frostpunk Console Edition;85;Strategy;Online;EXTRA
PS4/PS5;X;Ghost of Tsushima: Director�s Cut;85;Adventure;Online;NL/EXTRA
PS4; ;Hotline Miami;85;Action;Online;EXTRA
PS4;X;Outer Wilds;85;Adventure;Online;BOUGHT/EXTRA
PS4; ;Resogun;85;Arcade;Online;EXTRA
PS4;X;South Park: The Stick of Truth;85;RPG;Online;EXTRA
